post_id,suspect_id,platform,post_text,timestamp,ai_sentiment_flag,likes,shares
POST00001,SUS0002,WhatsApp Status,Package delivered successfully,2026-01-06 09:00:00,Neutral,71,4
POST00002,SUS0099,Twitter/X,Package delivered successfully,2026-08-27 16:00:00,Coded/Ambiguous,154,67
POST00003,SUS0032,Twitter/X,"Big deal coming this weekend, stay ready",2026-07-20 22:00:00,Suspicious,465,44
POST00004,SUS0077,WhatsApp Status,"Match today, who's watching",2026-05-16 09:00:00,Neutral,183,56
POST00005,SUS0125,WhatsApp Status,New shipment arriving from border,2026-06-03 14:00:00,Suspicious,481,19
POST00006,SUS0070,Instagram,"Police checking naka near highway, be careful",2026-08-01 22:00:00,Suspicious,121,67
POST00007,SUS0027,Facebook,"New phone number, save it",2026-04-06 02:00:00,Neutral,440,24
POST00008,SUS0132,Facebook,Happy Diwali to all my brothers,2026-08-11 04:00:00,Coded/Ambiguous,300,45
POST00009,SUS0026,Instagram,Package delivered successfully,2026-05-10 10:00:00,Coded/Ambiguous,331,59
POST00010,SUS0108,Twitter/X,"New phone number, save it",2026-07-18 16:00:00,Suspicious,172,43
POST00011,SUS0011,Telegram,"New phone number, save it",2026-03-04 01:00:00,Neutral,372,79
POST00012,SUS0085,Telegram,"Payment cleared, thanks bhai",2026-08-05 09:00:00,Threatening,198,13
POST00013,SUS0087,Instagram,"Payment cleared, thanks bhai",2026-01-04 22:00:00,Suspicious,299,14
POST00014,SUS0084,Instagram,"New phone number, save it",2026-07-08 00:00:00,Suspicious,147,52
POST00015,SUS0075,Telegram,"Police checking naka near highway, be careful",2026-01-11 07:00:00,Neutral,304,46
POST00016,SUS0089,Facebook,"Lay low for few days, situation hot",2026-07-20 11:00:00,Suspicious,188,42
POST00017,SUS0131,Facebook,"Big deal coming this weekend, stay ready",2026-05-11 02:00:00,Suspicious,339,19
POST00018,SUS0115,Telegram,"Payment cleared, thanks bhai",2026-04-23 10:00:00,Suspicious,321,63
POST00019,SUS0127,Instagram,"Lay low for few days, situation hot",2026-03-11 11:00:00,Coded/Ambiguous,145,15
POST00020,SUS0033,Instagram,"Match today, who's watching",2026-02-25 16:00:00,Neutral,377,75
POST00021,SUS0064,Twitter/X,"Match today, who's watching",2026-05-04 19:00:00,Suspicious,252,7
POST00022,SUS0073,Instagram,"Police checking naka near highway, be careful",2026-08-12 10:00:00,Suspicious,280,39
POST00023,SUS0146,Instagram,Happy Diwali to all my brothers,2026-06-26 23:00:00,Suspicious,472,13
POST00024,SUS0112,Instagram,New shipment arriving from border,2026-04-20 04:00:00,Suspicious,403,53
POST00025,SUS0126,Facebook,"Police checking naka near highway, be careful",2026-01-31 04:00:00,Neutral,175,3
POST00026,SUS0044,WhatsApp Status,Happy Diwali to all my brothers,2026-07-18 14:00:00,Suspicious,375,2
POST00027,SUS0097,Facebook,Package delivered successfully,2026-03-19 03:00:00,Coded/Ambiguous,251,18
POST00028,SUS0124,Instagram,New shipment arriving from border,2026-04-12 11:00:00,Coded/Ambiguous,418,47
POST00029,SUS0029,Telegram,New shipment arriving from border,2026-06-27 20:00:00,Neutral,464,6
POST00030,SUS0015,Facebook,"Police checking naka near highway, be careful",2026-03-28 09:00:00,Neutral,404,37
POST00031,SUS0091,Instagram,"Police checking naka near highway, be careful",2026-04-02 19:00:00,Coded/Ambiguous,472,55
POST00032,SUS0048,Facebook,"New phone number, save it",2026-02-01 13:00:00,Coded/Ambiguous,104,47
POST00033,SUS0124,WhatsApp Status,Happy Diwali to all my brothers,2026-06-29 13:00:00,Suspicious,420,78
POST00034,SUS0092,WhatsApp Status,"Payment cleared, thanks bhai",2026-07-14 00:00:00,Coded/Ambiguous,46,3
POST00035,SUS0129,Twitter/X,"Big deal coming this weekend, stay ready",2026-04-17 22:00:00,Neutral,242,11
POST00036,SUS0095,Facebook,"Match today, who's watching",2026-08-22 10:00:00,Suspicious,47,80
POST00037,SUS0149,WhatsApp Status,New shipment arriving from border,2026-04-27 18:00:00,Neutral,196,5
POST00038,SUS0063,WhatsApp Status,Happy Diwali to all my brothers,2026-08-11 02:00:00,Neutral,489,66
POST00039,SUS0130,Twitter/X,"Big deal coming this weekend, stay ready",2026-05-20 11:00:00,Coded/Ambiguous,188,47
POST00040,SUS0142,Instagram,"Meet at the usual spot, 9pm sharp",2026-02-20 19:00:00,Neutral,430,26
POST00041,SUS0045,Twitter/X,Happy Diwali to all my brothers,2026-01-12 05:00:00,Neutral,312,24
POST00042,SUS0061,Telegram,"Lay low for few days, situation hot",2026-07-01 06:00:00,Suspicious,300,5
POST00043,SUS0048,Telegram,New shipment arriving from border,2026-08-21 00:00:00,Suspicious,265,21
POST00044,SUS0017,Instagram,"Lay low for few days, situation hot",2026-05-24 17:00:00,Neutral,145,57
POST00045,SUS0134,Facebook,"Match today, who's watching",2026-01-26 13:00:00,Suspicious,382,34
POST00046,SUS0035,WhatsApp Status,"New phone number, save it",2026-07-09 00:00:00,Neutral,358,11
POST00047,SUS0048,Telegram,Happy Diwali to all my brothers,2026-03-17 05:00:00,Suspicious,142,19
POST00048,SUS0106,WhatsApp Status,"Big deal coming this weekend, stay ready",2026-03-20 08:00:00,Neutral,99,21
POST00049,SUS0127,WhatsApp Status,Happy Diwali to all my brothers,2026-06-03 13:00:00,Neutral,401,41
POST00050,SUS0133,Instagram,"New phone number, save it",2026-01-24 21:00:00,Suspicious,139,78
POST00051,SUS0146,Twitter/X,Happy Diwali to all my brothers,2026-02-13 09:00:00,Suspicious,156,32
POST00052,SUS0099,WhatsApp Status,New shipment arriving from border,2026-07-28 19:00:00,Coded/Ambiguous,315,42
POST00053,SUS0064,Telegram,"Police checking naka near highway, be careful",2026-01-24 10:00:00,Coded/Ambiguous,159,18
POST00054,SUS0051,Telegram,"Big deal coming this weekend, stay ready",2026-06-07 08:00:00,Coded/Ambiguous,405,74
POST00055,SUS0003,Instagram,"Lay low for few days, situation hot",2026-08-05 17:00:00,Coded/Ambiguous,392,75
POST00056,SUS0100,Twitter/X,"New phone number, save it",2026-04-10 13:00:00,Neutral,338,68
POST00057,SUS0047,Facebook,"Lay low for few days, situation hot",2026-08-03 04:00:00,Threatening,124,80
POST00058,SUS0035,Facebook,"New phone number, save it",2026-03-10 12:00:00,Suspicious,462,6
POST00059,SUS0058,WhatsApp Status,New shipment arriving from border,2026-04-30 06:00:00,Suspicious,396,34
POST00060,SUS0014,Telegram,"Meet at the usual spot, 9pm sharp",2026-04-10 21:00:00,Neutral,251,38
POST00061,SUS0134,Instagram,"New phone number, save it",2026-03-25 15:00:00,Neutral,403,42
POST00062,SUS0084,Telegram,"Police checking naka near highway, be careful",2026-05-30 12:00:00,Suspicious,339,51
POST00063,SUS0096,Twitter/X,"New phone number, save it",2026-07-31 14:00:00,Neutral,27,45
POST00064,SUS0087,Telegram,Package delivered successfully,2026-01-18 23:00:00,Coded/Ambiguous,333,54
POST00065,SUS0067,Telegram,"Lay low for few days, situation hot",2026-06-13 08:00:00,Neutral,468,28
POST00066,SUS0043,Instagram,"Police checking naka near highway, be careful",2026-04-30 01:00:00,Suspicious,492,55
POST00067,SUS0091,Twitter/X,"Payment cleared, thanks bhai",2026-02-19 08:00:00,Neutral,149,19
POST00068,SUS0023,Telegram,Happy Diwali to all my brothers,2026-06-25 16:00:00,Suspicious,366,12
POST00069,SUS0095,WhatsApp Status,New shipment arriving from border,2026-02-05 01:00:00,Neutral,47,73
POST00070,SUS0136,Telegram,"Big deal coming this weekend, stay ready",2026-03-30 21:00:00,Coded/Ambiguous,191,80
POST00071,SUS0026,WhatsApp Status,"Police checking naka near highway, be careful",2026-03-02 07:00:00,Coded/Ambiguous,163,6
